Fields classed as mixed,,
,,
Count of LCTYPE=1 means the same crop has been recorded twice for a field. Exclude for time being ,,
,,
Row Labels,Sum of AREA,Count of LCTYPE
NS/96658/80557,10,2
NS/97852/42526,20,2
NS/98257/43965,8,2
NS/98455/87556,14,2
NS/98777/87768,17,2
NS/99157/87547,7,2
NS/99202/79555,6,2
NS/99523/79664,22,2
NS/99769/87424,16,2
NT/00569/78922,36,2
NT/00754/78783,20,2
NT/01065/79038,19,2
NT/01074/78280,8,2
NT/01153/78717,16,2
NT/01266/80559,8,2
NT/01564/40028,4,2
NT/01601/80441,12,2
NT/01888/40243,6,2
NT/03200/85795,28,2
NT/05385/84700,22,2
NT/05780/85088,16,2
NT/07337/98065,5,2
NT/07960/86223,6,2
NT/08584/86594,9,2
NT/08763/99649,2,2
NT/11872/68284,11,2
NT/12405/68883,19,2
NT/12750/99352,4,2
NT/13332/89252,12,2
NT/13924/72266,8,2
NT/14242/71427,25,2
NT/14507/71784,16,2
NT/16628/43336,9,2
NT/17583/73957,12,2
NT/18916/88209,6,2
NT/21599/93000,20,2
NT/21922/93294,11,2
NT/22323/93459,13,2
NT/22398/98090,6,2
NT/27441/59670,5,2
NT/28285/59741,2,2
NT/29306/61067,5,2
NT/29797/62882,8,2
NT/30700/70439,4,2
NT/31589/70144,26,2
NT/31968/70504,3,2
NT/35171/65377,8,2
NT/38134/56084,28,2
NT/38840/55796,18,2
NT/38965/55360,32,2
NT/39339/55637,0,2
NT/39913/68338,0,2
NT/44747/76767,15,2
NT/44922/77034,13,2
NT/45227/77372,17,2
NT/45426/77014,17,2
NT/46316/77584,23,2
NT/46515/77563,1,2
NT/46925/77684,11,2
NT/49845/72494,1,2
NT/49904/26108,7,2
NT/50124/77378,4,2
NT/50382/26550,8,2
NT/50443/72781,9,2
NT/52051/82450,16,2
NT/52361/72060,10,2
NT/52655/30028,2,2
NT/52674/80525,0,2
NT/52689/80948,12,2
NT/52927/73522,11,2
NT/52968/82515,9,2
NT/53172/29419,16,2
NT/53234/80383,29,2
NT/53265/30423,12,2
NT/53565/29825,11,2
NT/53757/29452,14,2
NT/53885/80491,2,2
NT/54514/29944,22,2
NT/54650/30308,8,2
NT/54692/33096,3,2
NT/54953/30428,18,2
NT/55204/20623,30,2
NT/55304/20248,4,2
NT/55447/22861,24,2
NT/55545/21878,20,2
NT/55776/31841,4,2
NT/55807/21974,6,2
NT/55826/22793,2,2
NT/55928/19674,7,2
NT/56081/31732,13,2
NT/56245/80205,30,2
NT/56344/19866,3,2
NT/56393/18455,5,2
NT/56411/32981,6,2
NT/56504/21628,3,2
NT/56541/31729,26,2
NT/56568/79859,4,2
NT/56683/32401,3,2
NT/56761/25524,50,2
NT/56770/19008,4,2
NT/56972/32506,0,2
NT/57006/18983,6,2
NT/57098/31707,0,2
NT/57112/41672,8,2
NT/57138/75303,33,2
NT/57160/32321,12,2
NT/57316/26241,6,2
NT/57377/25960,12,2
NT/57542/25356,1,2
NT/57543/19637,6,2
NT/57798/21275,16,2
NT/57908/21135,0,2
NT/58086/21107,10,2
NT/58092/80227,16,2
NT/58167/25249,2,2
NT/58195/40123,26,2
NT/58216/20488,9,2
NT/58267/40712,11,2
NT/58388/21558,18,2
NT/58621/40663,10,2
NT/59275/23661,40,2
NT/59316/83778,1,2
NT/59681/45091,17,2
NT/59685/24088,0,2
NT/59756/20468,6,2
NT/59758/35580,18,2
NT/59778/34609,18,2
NT/59843/20943,5,2
NT/60190/24679,20,2
NT/60331/21347,12,2
NT/60379/24856,14,2
NT/60393/20133,11,2
NT/60412/44669,16,2
NT/60519/25011,8,2
NT/60635/34851,22,2
NT/60872/26210,18,2
NT/60929/24802,14,2
NT/61269/27981,6,2
NT/61317/45029,22,2
NT/61398/73783,5,2
NT/61405/74836,3,2
NT/61434/74652,3,2
NT/61488/27841,5,2
NT/61714/27564,9,2
NT/61982/74533,6,2
NT/62035/45345,19,2
NT/63888/74729,16,2
NT/64235/30037,30,2
NT/64254/23275,8,2
NT/64265/38104,18,2
NT/64307/29717,24,2
NT/64435/37797,16,2
NT/64448/14494,14,2
NT/64492/37262,12,2
NT/64521/75684,24,2
NT/64709/29884,22,2
NT/64710/31028,20,2
NT/64770/22899,7,2
NT/64811/74435,16,2
NT/65186/30763,8,2
NT/65347/30550,26,2
NT/65454/24255,16,2
NT/65730/23054,4,2
NT/66243/78119,6,2
NT/66334/77756,64,2
NT/66716/77659,22,2
NT/66857/76841,10,2
NT/67142/77322,6,2
NT/67445/44001,10,2
NT/67763/12587,4,2
NT/68184/77145,12,2
NT/68470/12144,2,2
NT/68713/19814,12,2
NT/68841/20139,18,2
NT/68885/76968,30,2
NT/69071/19951,18,2
NT/69279/18152,10,2
NT/69862/35956,12,2
NT/70344/76431,10,2
NT/70346/35648,9,2
NT/71903/76047,20,2
NT/72620/75977,48,2
NT/72781/13020,12,2
NT/72808/75385,4,2
NT/73007/74820,20,2
NT/73093/75202,6,2
NT/73114/12189,16,2
NT/73120/13840,12,2
NT/73230/25006,21,2
NT/73284/74160,10,2
NT/73565/13281,26,2
NT/74148/74307,10,2
NT/74373/38575,5,2
NT/74962/73920,12,2
NT/75201/47275,4,2
NT/75273/46233,11,2
NT/75675/38748,19,2
NT/75789/47789,1,2
NT/76056/39864,37,2
NT/76164/38987,1,2
NT/76413/40314,38,2
NT/76552/38555,10,2
NT/76614/39681,18,2
NT/76798/40566,7,2
NT/76958/37410,12,2
NT/77110/38268,16,2
NT/77115/39759,1,2
NT/77220/39118,15,2
NT/77311/37750,12,2
NT/77347/36363,13,2
NT/77372/36819,13,2
NT/77918/39573,15,2
NT/77946/36668,23,2
NT/78206/37460,21,2
NT/79367/44754,12,2
NT/79619/42336,12,2
NT/79810/44761,10,2
NT/80172/37146,1,2
NT/80203/67801,13,2
NT/80388/44883,18,2
NT/80544/27574,14,2
NT/80727/27310,18,2
NT/80785/27049,9,2
NT/80794/67241,16,2
NT/80866/45041,7,2
NT/80885/26899,2,2
NT/80987/26902,2,2
NT/81570/28377,14,2
NT/81664/59160,5,2
NT/81839/27380,20,2
NT/82625/64935,4,2
NT/82626/65764,14,2
NT/82629/65408,13,2
NT/82996/64549,12,2
NT/83032/65660,4,2
NT/84401/64759,17,2
NT/84442/65979,11,2
NT/84938/55001,55,2
NT/85431/55433,9,2
NT/85575/56954,0,2
NT/85687/56397,5,2
NT/85966/56451,8,2
NT/86206/56539,10,2
NT/86376/55385,8,2
NT/86899/55790,5,2
NT/88855/58493,26,2
NT/88881/59000,10,2
NX/09349/46546,12,2
NX/09953/46733,20,2
NX/09957/83731,22,2
NX/10504/83935,20,2
NX/10980/46236,10,2
NX/11380/58984,1,2
NX/11877/37134,10,2
NX/11887/37802,12,2
NX/41553/41042,14,2
NX/43041/38719,10,2
NX/46384/44189,5,2
NX/46704/44182,5,2
NX/47115/43633,9,2
NX/86579/96313,17,2
NX/86777/95923,16,2
NY/00274/71862,13,2
NY/01938/70131,9,2
NY/04394/84721,6,2
NY/04639/84775,6,2
NY/05871/87964,10,2
NY/09338/71285,3,2
NY/09605/83823,26,2
NY/09835/82777,26,2
NY/10236/81988,8,2
NY/10811/77148,6,2
NY/13387/85942,4,2
NY/13640/85296,9,2
NY/17497/73186,9,2
NY/17935/73761,12,2
NY/18013/74046,9,2
NY/27794/67185,10,2
NY/28139/67759,18,2
NY/28563/66297,3,2
NY/29074/67428,12,2
NY/29314/67784,18,2
NY/30332/70453,8,2
NY/30393/70671,10,2
NY/31017/70702,10,2
NY/31299/70522,10,2
NY/37568/73808,32,2
NY/38032/73739,18,2
NF/69453/70588,12,3
NF/72333/67630,32,3
NF/73037/66770,12,3
NF/76830/50209,4,3
NH/63068/39362,3,3
NH/68140/64013,6,3
NH/92818/55672,2,3
NJ/04435/60322,14,3
NJ/10563/64421,7,3
NJ/26757/44125,9,3
NJ/29014/65003,8,3
NJ/33978/64947,10,3
NJ/40116/56538,17,3
NJ/41684/62229,1,3
NJ/41796/61679,10,3
NJ/42895/61306,10,3
NJ/43952/11473,13,3
NJ/44731/61561,8,3
NJ/45633/12789,4,3
NJ/46229/12583,3,3
NJ/49068/53840,14,3
NJ/49101/36021,14,3
NJ/49219/54212,9,3
NJ/50226/36882,26,3
NJ/51765/26882,2,3
NJ/52835/26197,12,3
NJ/52840/25928,17,3
NJ/52882/39071,16,3
NJ/53158/38761,11,3
NJ/53224/38237,54,3
NJ/53442/27958,5,3
NJ/53758/38535,13,3
NJ/54782/66673,72,3
NJ/55262/12982,3,3
NJ/56957/12423,6,3
NJ/57544/39234,14,3
NJ/57676/39506,30,3
NJ/58243/42522,17,3
NJ/58777/41788,43,3
NJ/58955/63041,4,3
NJ/59200/18896,3,3
NJ/60703/62385,11,3
NJ/62033/12843,8,3
NJ/64668/29814,6,3
NJ/66310/35235,14,3
NJ/66469/62018,19,3
NJ/66783/14668,13,3
NJ/66803/14354,47,3
NJ/67544/14837,5,3
NJ/67620/14434,10,3
NJ/67869/15866,5,3
NJ/69181/20166,2,3
NJ/69376/33505,34,3
NJ/69564/14006,5,3
NJ/69628/13680,5,3
NJ/70162/17172,10,3
NJ/70402/15945,23,3
NJ/70881/15126,25,3
NJ/71329/16708,16,3
NJ/71704/14905,11,3
NJ/72441/53582,10,3
NJ/73545/56601,8,3
NJ/74025/21492,14,3
NJ/75577/25413,21,3
NJ/76095/24798,24,3
NJ/76108/13208,6,3
NJ/76243/13462,15,3
NJ/76339/13185,30,3
NJ/76353/13781,15,3
NJ/77890/40559,6,3
NJ/78806/18077,22,3
NJ/80714/31307,8,3
NJ/80956/18778,5,3
NJ/81164/31217,8,3
NJ/82736/53818,9,3
NJ/82769/50389,16,3
NJ/84452/47865,7,3
NJ/85345/54499,9,3
NJ/89920/51182,5,3
NJ/92535/49421,54,3
NJ/93571/42760,2,3
NJ/93712/22825,8,3
NJ/94206/23106,6,3
NJ/94277/42542,32,3
NJ/94343/23521,4,3
NJ/94495/38065,41,3
NJ/94502/22931,5,3
NJ/95018/36752,1,3
NJ/96744/39141,22,3
NJ/97456/35393,25,3
NJ/98554/37036,10,3
NJ/99816/56915,4,3
NK/00065/57668,1,3
NK/00734/57667,8,3
NK/00801/63780,10,3
NK/01041/57927,5,3
NK/01628/50469,24,3
NK/01933/36601,20,3
NK/02021/33599,15,3
NK/02088/43057,43,3
NK/04390/57540,7,3
NK/05095/61647,10,3
NK/05121/62566,2,3
NK/05465/62710,28,3
NK/05606/52352,9,3
NK/06229/43509,15,3
NK/07581/53553,5,3
NN/82761/20475,13,3
NN/90366/20503,6,3
NN/94952/13866,9,3
NO/03470/32143,11,3
NO/03642/31490,10,3
NO/04348/31770,4,3
NO/08618/00273,7,3
NO/09112/00391,3,3
NO/12137/43868,20,3
NO/13083/42509,14,3
NO/14479/38153,7,3
NO/14787/38827,46,3
NO/15593/45521,17,3
NO/15839/37818,1,3
NO/15888/45675,12,3
NO/16259/34975,15,3
NO/17083/43338,31,3
NO/17086/09921,9,3
NO/17419/39926,7,3
NO/17489/09265,4,3
NO/17702/41611,22,3
NO/18586/41516,10,3
NO/18936/33578,43,3
NO/18975/09952,12,3
NO/19183/41787,14,3
NO/19205/09341,2,3
NO/19347/40064,39,3
NO/19446/16928,4,3
NO/19509/10249,2,3
NO/19975/10226,0,3
NO/20635/19671,23,3
NO/21323/09016,14,3
NO/24505/15794,8,3
NO/25126/16219,5,3
NO/25326/10095,11,3
NO/25696/33601,17,3
NO/25981/07370,7,3
NO/26233/07318,8,3
NO/27174/12208,6,3
NO/27294/34344,18,3
NO/29423/09232,24,3
NO/29503/08357,20,3
NO/29836/07885,30,3
NO/31347/55034,11,3
NO/32950/43169,10,3
NO/33275/03268,12,3
NO/33810/03659,9,3
NO/33832/03389,20,3
NO/34090/31094,4,3
NO/34648/18362,13,3
NO/36166/50448,17,3
NO/37250/16632,2,3
NO/38158/21501,32,3
NO/38940/05911,19,3
NO/39070/59068,10,3
NO/39525/58346,6,3
NO/40831/62121,12,3
NO/43077/17598,28,3
NO/43360/26838,6,3
NO/43846/44068,6,3
NO/44145/43574,8,3
NO/44343/44100,7,3
NO/44833/44512,6,3
NO/47214/57363,9,3
NO/48287/35499,11,3
NO/51847/33845,27,3
NO/52280/34891,64,3
NO/54116/44943,11,3
NO/57241/51545,19,3
NO/57363/07772,13,3
NO/57561/64351,53,3
NO/58252/52796,23,3
NO/58996/59827,7,3
NO/59896/58756,13,3
NO/60117/73776,5,3
NO/62606/53113,21,3
NO/62878/75108,8,3
NO/63160/75320,14,3
NO/63239/53568,23,3
NO/63270/75831,29,3
NO/63771/75597,25,3
NO/63810/76224,11,3
NO/64109/76686,6,3
NO/64577/76514,9,3
NO/64771/74239,14,3
NO/65737/61519,7,3
NO/65958/61079,3,3
NO/69843/68072,17,3
NO/70183/69491,3,3
NO/70852/64013,9,3
NO/70891/55482,51,3
NO/71397/74330,19,3
NO/71957/67878,13,3
NO/72464/64827,29,3
NO/72561/64215,3,3
NO/73717/75680,8,3
NO/74218/74121,49,3
NO/74679/95755,4,3
NO/79718/84326,14,3
NO/80904/86187,16,3
NO/82287/85312,7,3
NO/82978/85626,15,3
NO/82991/75221,50,3
NO/83517/74620,20,3
NO/83544/74275,0,3
NO/84679/84411,14,3
NO/87996/88612,27,3
NS/22127/08694,10,3
NS/22160/08145,13,3
NS/22337/07222,5,3
NS/22521/07312,9,3
NS/22590/08941,10,3
NS/22598/07677,5,3
NS/22606/09228,13,3
NS/22859/08828,17,3
NS/23412/08842,10,3
NS/24623/12685,1,3
NS/24985/12511,20,3
NS/25116/10969,12,3
NS/38941/25151,18,3
NS/39342/17779,7,3
NS/39559/17610,3,3
NS/60703/73143,7,3
NS/82227/90862,41,3
NS/84979/04390,2,3
NS/85476/87728,15,3
NS/87058/90709,14,3
NS/93305/26109,9,3
NS/97584/87790,30,3
NT/00841/77995,5,3
NT/03917/79228,4,3
NT/07472/98750,10,3
NT/08649/99959,1,3
NT/18318/88221,1,3
NT/31838/95009,19,3
NT/37441/57555,8,3
NT/37740/55743,36,3
NT/38639/56394,23,3
NT/39053/55609,8,3
NT/46261/78468,22,3
NT/46671/77966,24,3
NT/52280/30208,42,3
NT/52545/82605,28,3
NT/52689/46096,1,3
NT/52799/30311,27,3
NT/53009/30034,14,3
NT/53653/30072,8,3
NT/53655/82059,24,3
NT/54192/29644,0,3
NT/54736/31193,10,3
NT/55022/30076,13,3
NT/55457/31610,6,3
NT/55512/20120,6,3
NT/55720/19904,10,3
NT/56568/19775,13,3
NT/56756/31498,21,3
NT/56773/21765,13,3
NT/56784/19244,22,3
NT/56828/31299,8,3
NT/56870/21033,5,3
NT/56985/31892,7,3
NT/57001/19711,4,3
NT/57326/73319,8,3
NT/57355/26682,17,3
NT/57409/18591,6,3
NT/57413/32455,6,3
NT/57609/18836,6,3
NT/57702/79938,7,3
NT/57756/19561,9,3
NT/57854/20199,7,3
NT/58421/21267,9,3
NT/58599/21805,14,3
NT/58698/21528,11,3
NT/58954/83660,40,3
NT/59581/35279,7,3
NT/59981/21829,15,3
NT/60519/23980,20,3
NT/60633/20799,5,3
NT/63713/30358,24,3
NT/63760/30863,23,3
NT/64440/30686,2,3
NT/64830/14770,16,3
NT/64934/31550,22,3
NT/64982/29337,21,3
NT/65520/15955,33,3
NT/69920/35534,6,3
NT/71953/76329,6,3
NT/72340/75764,10,3
NT/74643/73752,4,3
NT/76435/24431,0,3
NT/76480/38884,1,3
NT/77670/32152,17,3
NT/77786/39864,15,3
NT/78077/32183,4,3
NT/78091/49425,7,3
NT/78247/38144,21,3
NT/78446/37018,32,3
NT/80578/27863,15,3
NT/80881/28163,10,3
NT/81573/27685,14,3
NT/81641/59399,15,3
NT/81794/28582,10,3
NT/82649/28474,2,3
NT/82709/27983,6,3
NT/83040/28603,1,3
NT/85840/56726,8,3
NT/86215/56211,11,3
NT/90183/59277,19,3
NT/90602/58600,10,3
NX/09629/83300,28,3
NX/10516/83211,25,3
NY/09239/83648,15,3
NY/09265/83995,10,3
NY/28037/67466,16,3
NY/31237/70770,7,3
NY/35950/73931,24,3
NH/67179/57571,12,4
NH/72621/64872,30,4
NJ/28828/65749,21,4
NJ/41608/62608,20,4
NJ/41978/61873,12,4
NJ/42408/61709,0,4
NJ/46132/12751,8,4
NJ/46216/12410,12,4
NJ/49441/35660,22,4
NJ/56758/13057,6,4
NJ/56842/43355,26,4
NJ/57382/38425,42,4
NJ/57678/42939,18,4
NJ/58934/19642,11,4
NJ/64102/60136,24,4
NJ/67951/14926,2,4
NJ/67964/16251,32,4
NJ/69033/16155,10,4
NJ/69133/19969,2,4
NJ/69376/16792,9,4
NJ/69605/13813,1,4
NJ/79053/17365,23,4
NJ/81073/18685,8,4
NJ/84539/07537,8,4
NJ/94756/38658,45,4
NJ/96227/24161,11,4
NK/00181/63344,19,4
NN/74558/23288,27,4
NN/88176/19336,69,4
NN/90208/20097,8,4
NN/92979/12602,6,4
NN/98659/22304,0,4
NO/14331/38319,0,4
NO/15952/45253,27,4
NO/16094/39673,26,4
NO/16846/09688,14,4
NO/17859/39294,2,4
NO/18115/09843,8,4
NO/18714/41556,8,4
NO/20332/09578,14,4
NO/25283/33132,19,4
NO/26247/09922,6,4
NO/27668/10753,12,4
NO/40732/57988,13,4
NO/45187/09721,6,4
NO/47395/38900,28,4
NO/51751/05567,22,4
NO/54276/45243,15,4
NO/56248/14011,8,4
NO/60729/68766,25,4
NO/63143/72725,38,4
NO/63221/72009,26,4
NO/64042/76371,8,4
NO/71174/63309,24,4
NO/72744/63315,22,4
NO/73113/64188,49,4
NO/73913/91234,8,4
NO/74051/91399,13,4
NO/75778/75060,16,4
NO/81543/84627,28,4
NO/83274/75659,3,4
NO/83527/75127,39,4
NS/19237/49277,6,4
NS/21421/07462,18,4
NS/21969/08414,2,4
NS/22782/07576,14,4
NS/25538/12816,10,4
NS/26905/10669,6,4
NS/27114/11193,18,4
NS/27631/11450,12,4
NS/84132/90602,47,4
NS/92219/90098,16,4
NT/01781/80275,8,4
NT/11451/68514,6,4
NT/18673/88053,6,4
NT/30904/69897,16,4
NT/38396/57575,36,4
NT/39749/68448,9,4
NT/40331/68226,33,4
NT/53128/29756,8,4
NT/54077/29421,2,4
NT/55623/32042,22,4
NT/56288/20276,14,4
NT/56527/20930,6,4
NT/56527/33298,13,4
NT/56604/21225,18,4
NT/57542/26379,28,4
NT/58703/21060,20,4
NT/58975/21364,18,4
NT/59590/21525,6,4
NT/60625/24698,12,4
NT/68485/20055,26,4
NT/74063/74584,15,4
NT/81031/28482,14,4
NT/81183/28135,26,4
NT/81541/27136,24,4
NT/83029/28213,10,4
NT/85625/54864,23,4
NT/89234/59004,9,4
NT/89565/59105,21,4
NJ/53421/33278,116,5
NJ/82371/15888,45,5
NJ/93291/40247,19,5
NJ/94034/22391,16,5
NK/01186/41370,42,5
NK/05557/48858,7,5
NN/90935/20224,30,5
NN/96695/17548,29,5
NO/14965/39751,20,5
NO/15483/39369,10,5
NO/16693/09424,13,5
NO/17374/41606,16,5
NO/17722/39604,12,5
NO/27272/09706,46,5
NO/27531/06692,38,5
NO/63060/51030,38,5
NO/64244/76512,10,5
NO/64787/74481,7,5
NO/65002/52553,79,5
NO/71191/63707,44,5
NO/71870/64018,31,5
NO/72317/63514,16,5
NS/23060/08342,5,5
NS/37414/35587,21,5
NT/01672/80711,20,5
NT/11893/68577,5,5
NT/27945/98035,33,5
NT/31150/95456,32,5
NT/45926/78236,23,5
NT/56650/19517,12,5
NT/57227/19282,18,5
NT/59765/21981,23,5
NT/64601/30195,16,5
NT/64807/30712,12,5
NT/76663/24674,42,5
NT/81699/27514,14,5
NX/10443/47321,23,5
NJ/49467/36057,27,6
NJ/54688/33432,30,6
NJ/95751/24201,20,6
NK/05675/62011,60,6
NK/05751/43605,16,6
NN/97978/22382,19,6
NO/17960/39002,12,6
NO/18843/40305,14,6
NO/20379/20372,59,6
NS/21791/08115,8,6
NT/52377/29153,26,6
NT/55694/31480,26,6
NT/58570/20434,48,6
NT/59349/21701,21,6
NT/63969/38438,30,6
NT/76959/24462,36,6
NT/81707/28143,16,6
NT/88422/59215,2,6
NY/09581/83502,11,6
NJ/09994/64217,39,7
NJ/68671/16002,64,7
NK/06746/42930,44,7
NO/27187/18828,20,7
NO/36006/17371,27,7
NO/71711/64858,116,7
NT/53127/29160,12,7
NT/54581/29584,14,7
NT/57162/25236,14,7
NT/60265/34888,22,7
NX/09613/46589,20,7
NJ/41830/62863,30,8
NO/18492/39451,52,8
NT/63930/29880,24,8
NN/98832/22507,51,9
NT/54077/29972,32,9
NT/76213/24154,2,13
NT/00969/78462,4,15
Grand Total,22415,4373
