Id,FID_1,LCGROUP,LCTYPE,AREA,GROSS_AREA,_count,_sum,_mean,_1mean,_1range,_1variance,_2mean,_2range,_2variance,_3mean,_3range,_3variance,_4mean,_4range,_4variance,_5mean,_5range,_5variance,_6mean,_6range,_6variance,_7mean,_7range,_7variance,_8mean,_8range,_8variance,_9mean,_9range,_9variance,_1.2mean,_1.2range,_1.2varian,_2.2mean,_2.2range,_2.2varian,_3.2mean,_3.2range,_3.2varian,_4.2mean,_4.2range,_4.2varian,_5.2mean,_5.2range,_5.2varian,_6.2count,_6.2sum,_6.2mean,_7.2mean,_7.2range,_7.2varian,_8.2mean,_8.2range,_8.2varian,_9.2mean,_9.2range,_9.2varian
"0",NT/64725/23845,Arable,FALW,1.187,1.187,123.000000000000000,-2085.134612083435059,-16.952313919377520,-9.1013274113994,6.83519744873047,2.53153021542075,-7.98909679641072,8.47314810752869,3.19694725638096,-10.0342075501458,8.80595779418945,3.19970496522375,-7.46745540647425,8.22137892246246,3.77092855609214,-9.47805973662048,10.0021092891693,4.30805576628892,-9.89663506746292,8.54343891143799,2.85217914625023,-9.62883628805478,10.3931729793549,4.25374064158875,-10.3341604312261,8.75330448150635,4.22752437965472,-15.4185700920539,9.66400623321533,2.91211813754255,-16.0853119763461,9.51029014587402,4.89161345210833,-14.8266453865247,8.08270263671875,2.61679589090213,-16.7858839681593,9.03488445281982,4.35181140389673,-13.9084935718113,8.44847583770752,3.6980651633079,-16.8547343566638,10.8268728256226,6.60412937417821,120,-1894.75656318665,-15.7896380265554,-15.9237640062968,7.53709316253662,1.72294173743034,-15.8120289961497,6.39357471466065,2.16304527908762,-15.4185700920539,9.66400623321533,2.91211813754255
"0",NT/64725/23845,Arable,UCAA,0.833,0.833,85.000000000000000,-1456.810777664184570,-17.138950325460996,-10.8078214975051,6.41099643707275,1.9553656193407,-8.45809708322797,8.43483877182007,3.57666106968288,-13.0675245308014,5.00359630584717,1.65959626678893,-7.09304237088492,8.1036422252655,3.58459219648025,-10.9856228941963,5.19864559173584,1.55200163261968,-9.82079456513187,5.72070264816284,1.92468725749338,-10.2568658363251,6.61115789413452,1.77945162647422,-9.39689962069193,8.4246621131897,1.98245965585081,-14.503480238073,8.11914539337158,2.6385613908444,-19.3897463951582,11.3766746520996,6.50589262478167,-16.6058084964752,6.74163341522217,1.88965826994665,-19.3233003386532,11.9389066696167,7.59126836046253,-15.5487088602643,8.2608585357666,2.16379541860117,-20.7000115598951,11.223105430603,3.34613250717686,83,-1385.35384559631,-16.6910101879074,-15.3436915533883,7.24899005889893,2.30650422394072,-15.8735582260858,7.72117805480957,2.60049419658332,-14.503480238073,8.11914539337158,2.6385613908444
"0",NT/64725/23845,Arable,WPOT,12.691,12.691,1268.000000000000000,-25601.485893249511719,-20.190446288051664,-10.6399731624801,9.75379419326782,1.98923846773975,-8.40307731033783,9.23723745346069,1.77566739007141,-11.8303708179192,9.00232696533203,2.04543624036013,-5.78509932201743,11.436874628067,2.42879636447788,-10.1729271272536,10.4031491279602,2.26686955353288,-7.12636982561842,13.3984860181808,3.52682633274462,-7.41374325865253,11.0699901580811,2.63312929711819,-7.75255883510933,10.3978691101074,2.57787758325555,-13.0172409104285,10.0099077224731,1.79116103253643,-19.9260549665247,12.2834033966064,2.91329565234796,-16.4082198101607,8.9238395690918,1.88484105297256,-19.8783483280326,11.176251411438,2.22623131516068,-14.2918590371165,9.12201404571533,1.87968529098516,-22.4722193360894,17.0123119354248,6.97880957361196,1274,-20413.2610692978,-16.0229678722903,-14.2363818674856,10.1551380157471,2.08537053826459,-14.2599994316462,12.819185256958,2.16379367815219,-13.0172409104285,10.0099077224731,1.79116103253643
"0",NT/65834/23473,Arable,FALW,1.763,1.763,178.000000000000000,-3163.379621505737305,-17.771795626436727,-11.561336598613,6.28964424133301,1.42466116014809,-11.0378857724493,6.18866157531738,1.26855752807524,-13.7093910816738,5.92764663696289,1.48200537328245,-10.3253692009232,5.78112506866455,1.56524556490827,-12.5890868414532,6.1164026260376,1.78627267912446,-12.1053585073801,5.67517852783203,1.59496404169892,-9.48785257071592,5.4575719833374,1.65250561831351,-10.0723504618313,6.81165504455566,1.40728983173839,-15.477378166328,7.37460803985596,2.39526771176498,-20.1120592572472,9.34941577911377,1.76514087579854,-17.4770139662247,6.67580413818359,1.35562448118018,-21.4677762930734,7.62545585632324,2.02587664172739,-15.9799919724464,6.71133041381836,1.55143740915037,-18.3934634002772,6.78663730621338,2.19032140625851,179,-3187.84703922272,-17.8092013364398,-15.2924714249172,8.13065910339355,2.36159025926759,-15.3746342926883,6.5696268081665,2.07973520020934,-15.477378166328,7.37460803985596,2.39526771176498
"0",NT/65398/23494,Arable,FALW,4.386,4.386,435.000000000000000,-7653.500463485717773,-17.594253939047626,-11.3701047711416,7.36963033676147,2.33817550396463,-9.2951147404584,8.6618537902832,1.76969960344279,-12.9413380938578,9.05560493469238,2.08514347117202,-8.9345395825126,6.52265596389771,1.15206063965408,-10.7292295839991,8.47862672805786,2.35211667246716,-10.2431365616245,10.098641872406,2.45569054930405,-9.66931557170963,8.38175630569458,1.43700105197358,-9.52571889386426,8.96134638786316,1.942292921375,-14.8812651304605,7.98407459259033,2.09303844779809,-18.9988538584578,11.0206232070923,3.28493207998492,-17.2785996978933,9.97696781158447,2.87556978990195,-19.2688143873868,9.58932590484619,2.03431245095384,-14.7666772040454,8.13476371765137,2.20014191636119,-19.2949910703288,12.9468069076538,4.16997161598596,438,-7244.31233215332,-16.5395258724962,-15.3624186957125,7.8303804397583,2.82409672369386,-18.5492201911079,10.1973257064819,3.10275662930344,-14.8812651304605,7.98407459259033,2.09303844779809
"0",NT/65834/23473,Arable,WO,7.826,7.826,783.000000000000000,-15021.416480064392090,-19.184439948996669,-9.90319882085561,7.41225671768188,1.30856932331517,-8.01311984627831,8.8116729259491,1.89413647682339,-12.2406106753507,9.7825722694397,2.2185425797676,-8.16183118478284,7.82883214950562,1.94639593598252,-13.7565388783297,11.3016476631165,3.25793803079746,-13.9675245567332,10.1619882583618,2.51416480048647,-12.6673746475807,7.44602870941162,1.264466134615,-12.3220564638741,8.04362678527832,1.57119532444976,-18.3329788786806,8.72129058837891,1.77311373642255,-19.3104154472156,11.7869834899902,1.86234136638093,-16.7233049468118,6.93425464630127,1.18289782845463,-21.6054230124592,11.7350416183472,2.63987535014868,-15.5065471451353,8.94481086730957,1.63072523703753,-20.1915869279341,10.5452852249146,3.16990327839023,777,-15370.8924026489,-19.7823583045675,-21.2197235620939,15.2308712005615,4.78951402984392,-20.4749350523274,13.5515699386597,4.44637234584036,-18.3329788786806,8.72129058837891,1.77311373642255
"0",NT/65706/23711,Permanent Grassland,PGRS,1.997,1.997,200.000000000000000,-3346.260545730590820,-16.731302728652953,-11.8581050562859,7.94222784042358,3.82125043553227,-9.7286882304666,5.52541637420654,1.15995495551962,-12.8485664158911,7.12269973754883,1.63257764096917,-9.42499883413315,6.22122669219971,1.60388823589852,-11.8178197708889,7.39319896697998,2.17972679644564,-11.9657496792255,8.30935144424438,4.67560977758545,-12.0317130520116,7.37893152236938,2.95420987938752,-12.0311496269527,8.33976173400879,2.68442933726178,-17.6345696093431,6.75471305847168,2.14059130494467,-19.6327699327469,8.94284343719482,4.8307533130568,-17.7159745154069,8.82760334014893,3.26191885894403,-19.8560438915272,9.56766700744629,5.21686039496791,-16.8934994077682,7.48084259033203,2.80516555280387,-18.2968682151529,9.807785987854,4.68592948800817,202,-3618.55829620361,-17.9136549317011,-17.8035722521681,9.28245639801025,3.97939032699082,-17.8374202333648,8.41493701934814,3.9856838000484,-17.6345696093431,6.75471305847168,2.14059130494467
"0",NT/65588/23887,Arable,WW,14.949,14.949,1493.000000000000000,-29314.376715660095215,-19.634545690328263,-9.20878900782182,8.71340847015381,1.44072085857312,-5.67153522595663,10.4708805680275,2.38953243461494,-9.90508432981165,8.35473537445068,2.22162645464466,-6.07962445314725,8.6810165643692,1.8526090498166,-12.7608114647181,9.62121486663818,1.80987146830988,-14.7795712238001,12.6572532653809,3.21574765480323,-13.1148758829439,11.1375584602356,2.68292020992947,-11.9311883664849,11.158679485321,2.24813170860531,-17.0408278114457,8.85322189331055,1.61668800464073,-19.3642324497455,10.0830726623535,2.30875089343389,-15.5136464181514,9.53592109680176,1.68013581186269,-19.9944181761002,14.3481912612915,2.60718201678802,-14.7566249599457,6.84307289123535,1.32874559078447,-19.6455026592232,11.3072662353516,2.81241712649568,1498,-30749.6132183075,-20.5271116277086,-18.9161189350302,11.9004735946655,2.74554738342385,-20.1687714178028,12.6577014923096,4.26241696030897,-17.0408278114457,8.85322189331055,1.61668800464073
"0",NT/65033/23896,Permanent Grassland,PGRS,1.078,1.078,109.000000000000000,-1955.469243049621582,-17.940084798620383,-10.8785126944569,8.90299367904663,4.53877616383344,-7.36100822630383,4.08868980407715,1.26964447769516,-10.9771611105721,5.18889904022217,0.97949988180816,-6.55320525388105,4.55506753921509,1.15367689487949,-11.4527553081512,8.59511423110962,4.71441983992193,-10.8546261566657,9.74241399765015,3.3971203914341,-11.499996803425,10.6263065338135,5.26795711156207,-12.6816039172881,8.7676100730896,4.98723582871653,-17.5278753874437,9.59493827819824,5.4139321665927,-18.3308415011825,8.92210006713867,4.76091669559374,-15.8562219710577,7.57034683227539,3.64079409880845,-18.7135986292137,8.65633773803711,4.2698603732274,-14.2844761752207,5.98597240447998,2.71443177946528,-18.5439015908675,10.4208831787109,8.52018075439739,108,-1976.8742275238,-18.3043909955908,-18.4317610352128,9.95661926269531,6.27156310241717,-18.0796449031305,8.82903099060059,4.97539691040746,-17.5278753874437,9.59493827819824,5.4139321665927
"0",NT/65217/23983,Arable,WO,6.573,6.573,655.000000000000000,-12711.216426849365234,-19.406437292899795,-10.4744393028387,9.79845333099365,2.10920990438562,-7.73349109681544,8.10764312744141,2.2298685568422,-11.930238012834,10.0881452560425,2.34125728931788,-7.51336872233968,7.13450193405151,1.45841916578821,-14.1737920915954,11.69770860672,2.6040921951322,-14.0034975031681,10.9742531776428,2.09912313558855,-12.0760343180358,7.59739637374878,1.53776561802682,-12.3077740806314,8.42152976989746,1.63735410453017,-17.6447705378059,8.59632205963135,1.75764288396634,-18.9218080253949,8.39814376831055,1.62579773112665,-16.2611413567262,8.40052604675293,1.46687552914664,-20.4597668243177,11.3214635848999,2.38757561804434,-15.5331846998385,6.77954578399658,1.81565495627077,-20.4772665446373,14.5939893722534,4.12122522453618,661,-12836.9752483368,-19.4205374407516,-21.0854386686369,12.7000503540039,3.83424818484252,-19.2852350990999,10.7994976043701,3.69170236679056,-17.6447705378059,8.59632205963135,1.75764288396634
