"","FID_1","modelLessVarsPredictedNoLabels"
"1914","NT/63266/21432","PGRS"
"1915","NT/62418/21888","WO"
"1916","NT/69929/22750","PGRS"
"1917","NT/68166/25144","PGRS"
"1918","NT/68781/25288","SB"
"1919","NT/66149/21176","PGRS"
"1920","NT/62346/24731","PGRS"
"1921","NT/61809/21960","SB"
"1922","NT/69401/20669","SB"
"1923","NT/68714/20270","PGRS"
"1924","NT/62941/22095","WO"
"1925","NT/63037/23965","WBS"
"1926","NT/65031/25282","SB"
"1927","NT/61285/26119","PGRS"
"1928","NT/62288/22128","PGRS"
"1929","NT/63041/24869","PGRS"
"1930","NT/69749/23745","WB"
"1931","NT/60763/29832","WBS"
"1932","NT/61009/29561","WBS"
"1933","NT/61076/22518","PGRS"
"1934","NT/64006/24172","PGRS"
"1935","NT/61940/20013","PGRS"
"1936","NT/62968/28201","PGRS"
"1937","NT/70010/20449","SB"
"1938","NT/61486/21280","SB"
"1939","NT/67622/27277","SB"
"1940","NT/68790/28983","WPOT"
"1941","NT/62080/21989","WOSR"
"1942","NT/64855/25857","SB"
"1943","NT/62560/23621","WW"
"1944","NT/63813/23360","PGRS"
"1945","NT/65423/26547","PGRS"
"1946","NT/67975/24452","PGRS"
"1947","NT/65125/23852","WBS"
"1948","NT/68258/20476","WW"
"1949","NT/65996/22142","PGRS"
"1950","NT/62064/24747","PGRS"
"1951","NT/62013/22064","PGRS"
"1952","NT/68170/23606","SB"
"1953","NT/63186/22170","WW"
"1954","NT/67130/21901","PGRS"
"1955","NT/68412/23512","SB"
"1956","NT/65905/22131","PGRS"
"1957","NT/69600/24450","SB"
"1958","NT/69550/24918","WOSR"
"1959","NT/61648/28411","WB"
"1960","NT/67026/25924","PGRS"
"1961","NT/66558/28865","PGRS"
"1962","NT/60716/28325","PGRS"
"1963","NT/62251/28522","WPOT"
"1964","NT/67150/28872","PGRS"
"1965","NT/67487/28612","PGRS"
"1966","NT/68987/26232","SO"
"1967","NT/64130/28787","WOSR"
"1968","NT/61854/24888","PGRS"
"1969","NT/61642/24469","PGRS"
"1970","NT/63432/23806","PGRS"
"1971","NT/65140/26762","SO"
"1972","NT/64907/27876","PGRS"
"1973","NT/61150/26534","WW"
"1974","NT/65312/26306","PGRS"
"1975","NT/62714/26251","PGRS"
"1976","NT/62247/27538","WW"
"1977","NT/69710/22804","PGRS"
"1978","NT/61384/23669","SB"
"1979","NT/69047/25811","PGRS"
"1980","NT/66121/26769","PGRS"
"1981","NT/62523/22995","PGRS"
"1982","NT/62991/20943","PGRS"
"1983","NT/69821/28096","PGRS"
"1984","NT/61549/24524","PGRS"
"1985","NT/65793/24975","PGRS"
"1986","NT/66032/29789","WW"
"1987","NT/63621/23962","PGRS"
"1988","NT/67734/26047","PGRS"
"1989","NT/65094/28270","WBS"
"1990","NT/64975/28650","PGRS"
"1991","NT/62687/20441","PGRS"
"1992","NT/62258/22812","PGRS"
"1993","NT/62632/28579","WB"
"1994","NT/63250/22980","WW"
"1995","NT/61051/28332","SB"
"1996","NT/65965/27012","WOSR"
"1997","NT/62754/27895","PGRS"
"1998","NT/63090/23779","SB"
"1999","NT/63453/23743","PGRS"
"2000","NT/66291/26951","PGRS"
"2001","NT/66184/25946","SB"
"2002","NT/67335/28758","PGRS"
"2003","NT/61768/20680","SB"
"2004","NT/61694/24912","PGRS"
"2005","NT/64541/29120","WOSR"
"2006","NT/63839/29323","WW"
"2007","NT/66353/27484","SO"
"2008","NT/67668/27485","PGRS"
"2009","NT/63054/22801","WO"
"2010","NT/61843/23495","WB"
"2011","NT/67924/27406","PGRS"
"2012","NT/61253/24548","PGRS"
"2013","NT/61001/29385","WO"
"2014","NT/62621/29540","WW"
"2015","NT/69079/29271","PGRS"
"2016","NT/69143/29493","PGRS"
"2017","NT/63083/28416","PGRS"
"2018","NT/60775/29598","WW"
"2019","NT/62834/24761","PGRS"
"2020","NT/61476/22590","PGRS"
"2021","NT/67177/20459","PGRS"
"2022","NT/68453/20930","PGRS"
"2023","NT/66267/21538","PGRS"
"2024","NT/60919/22745","PGRS"
"2025","NT/65989/23587","WO"
"2026","NT/62860/22672","PGRS"
"2027","NT/69908/22082","PGRS"
"2028","NT/61858/24531","PGRS"
"2029","NT/67884/27074","PGRS"
"2030","NT/67528/20931","WPOT"
"2031","NT/62110/24518","PGRS"
"2032","NT/64267/21240","PGRS"
"2033","NT/63926/20956","PGRS"
"2034","NT/62071/24059","SB"
"2035","NT/67738/22166","WOSR"
"2036","NT/68214/23343","PGRS"
"2037","NT/62651/25419","PGRS"
"2038","NT/61225/28721","SB"
"2039","NT/69040/29761","SB"
"2040","NT/64525/21197","WB"
"2041","NT/68908/24298","PGRS"
"2042","NT/68867/24574","PGRS"
"2043","NT/61031/24237","PGRS"
"2044","NT/60705/24445","PGRS"
"2045","NT/68774/24778","PGRS"
"2046","NT/67204/27913","SO"
"2047","NT/66790/29886","WO"
"2048","NT/62904/23053","PGRS"
"2049","NT/61078/25643","SB"
"2050","NT/66202/21590","PGRS"
"2051","NT/62508/24970","PGRS"
"2052","NT/61861/24346","SB"
"2053","NT/69277/20257","PGRS"
"2054","NT/68546/25134","WO"
"2055","NT/63045/24363","SB"
"2056","NT/68673/22820","SB"
"2057","NT/61310/25667","PGRS"
"2058","NT/62668/21605","WB"
"2059","NT/67627/21267","PGRS"
"2060","NT/63779/28007","WW"
"2061","NT/68495/20400","SB"
"2062","NT/62940/29183","WW"
"2063","NT/61667/21863","SB"
"2064","NT/63465/22299","SB"
"2065","NT/62840/25447","PGRS"
"2066","NT/63863/25462","SB"
"2067","NT/61039/24599","WOSR"
"2068","NT/63337/24343","PGRS"
"2069","NT/69809/23170","WB"
"2070","NT/62198/23728","WB"
"2071","NT/64515/25074","PGRS"
"2072","NT/63734/26562","PGRS"
"2073","NT/69701/20721","WW"
"2074","NT/68641/24824","PGRS"
"2075","NT/62215/24272","SB"
"2076","NT/61114/25131","PGRS"
"2077","NT/62771/21941","SB"
"2078","NT/65567/22196","PGRS"
"2079","NT/62548/24839","PGRS"
"2080","NT/68067/21428","WW"
"2081","NT/66187/24303","PGRS"
"2082","NT/68942/22010","PGRS"
"2083","NT/66424/26156","WB"
"2084","NT/64041/25202","WBS"
"2085","NT/62777/23938","SB"
"2086","NT/66007/25336","SB"
"2087","NT/61161/20329","WB"
"2088","NT/66581/22200","WW"
"2089","NT/69837/22132","WOSR"
"2090","NT/64636/25687","PGRS"
"2091","NT/66149/21326","PGRS"
"2092","NT/67858/24040","PGRS"
"2093","NT/60852/25729","SB"
"2094","NT/62806/20691","PGRS"
"2095","NT/69179/26367","WW"
"2096","NT/68264/21027","WPOT"
"2097","NT/64498/28067","WBS"
"2098","NT/61283/25683","PGRS"
"2099","NT/67465/20236","PGRS"
"2100","NT/67486/20276","PGRS"
"2101","NT/65719/28753","PGRS"
"2102","NT/69844/24581","SB"
"2103","NT/64275/25106","PGRS"
"2104","NT/68955/23122","PGRS"
"2105","NT/66697/23381","PGRS"
"2106","NT/66771/23718","SB"
"2107","NT/60890/29052","WO"
"2108","NT/61156/29403","PGRS"
"2109","NT/61110/29407","PGRS"
"2110","NT/63066/28447","PGRS"
"2111","NT/63341/29000","WW"
"2112","NT/63212/29467","WW"
"2113","NT/60726/24572","PGRS"
"2114","NT/66659/22455","PGRS"
"2115","NT/64385/27388","WW"
"2116","NT/61413/26355","PGRS"
"2117","NT/65846/21814","PGRS"
"2118","NT/68553/27887","WB"
"2119","NT/68814/28809","PGRS"
"2120","NT/69878/27240","WB"
"2121","NT/61960/28277","WW"
"2122","NT/68805/29324","PGRS"
"2123","NT/61789/27325","PGRS"
"2124","NT/69862/26349","SB"
"2125","NT/69835/26712","SB"
"2126","NT/68733/29467","PGRS"
"2127","NT/61055/23783","WB"
"2128","NT/61309/23412","SB"
"2129","NT/61696/26102","PGRS"
"2130","NT/66714/29079","PGRS"
"2131","NT/64266/24610","SB"
"2132","NT/65543/28211","PGRS"
"2133","NT/63723/28412","WOSR"
"2134","NT/64315/28385","WW"
"2135","NT/61540/23950","SB"
"2136","NT/63884/23079","PGRS"
"2137","NT/63925/22801","SB"
"2138","NT/68608/26709","PGRS"
"2139","NT/69657/21957","PGRS"
"2140","NT/69719/26087","WW"
"2141","NT/60708/24924","WB"
"2142","NT/60837/25241","PGRS"
"2143","NT/61330/25581","PGRS"
"2144","NT/67200/28355","PGRS"
"2145","NT/62478/22647","PGRS"
"2146","NT/69129/28814","SB"
"2147","NT/68414/29838","PGRS"
"2148","NT/61600/29045","WPOT"
"2149","NT/67061/28189","PGRS"
"2150","NT/66129/24676","PGRS"
"2151","NT/65252/24813","SB"
"2152","NT/68913/24788","PGRS"
"2153","NT/62611/23200","PGRS"
"2154","NT/62969/23164","PGRS"
"2155","NT/67416/27961","PGRS"
"2156","NT/69338/23005","SB"
"2157","NT/60790/23561","WW"
"2158","NT/60879/28009","PGRS"
"2159","NT/69938/27975","SB"
"2160","NT/63740/24844","SB"
"2161","NT/61714/27564","SB"
"2162","NT/61317/27766","PGRS"
"2163","NT/67899/25891","WOSR"
"2164","NT/62503/20604","PGRS"
"2165","NT/68746/28936","SB"
"2166","NT/61408/29072","PGRS"
"2167","NT/62576/24091","WW"
"2168","NT/66787/27840","WW"
"2169","NT/65276/27643","PGRS"
"2170","NT/69478/28742","PGRS"
"2171","NT/67621/27884","PGRS"
"2172","NT/67692/26836","PGRS"
"2173","NT/61881/27869","WW"
"2174","NT/66994/27616","SB"
"2175","NT/62558/27554","PGRS"
"2176","NT/63050/23602","PGRS"
"2177","NT/62982/20638","PGRS"
"2178","NT/60902/25203","PGRS"
"2179","NT/62081/20514","PGRS"
"2180","NT/62143/20527","PGRS"
"2181","NT/62325/25360","PGRS"
"2182","NT/68466/28001","PGRS"
"2183","NT/61013/20473","WB"
"2184","NT/62979/24085","WW"
"2185","NT/61645/25517","WW"
"2186","NT/63058/21844","WW"
"2187","NT/68263/23849","WB"
"2188","NT/65492/25263","SB"
"2189","NT/62673/22421","SB"
"2190","NT/62270/29562","WW"
"2191","NT/68869/23977","SB"
"2192","NT/61365/25317","PGRS"
"2193","NT/69763/21809","PGRS"
"2194","NT/63279/26084","PGRS"
"2195","NT/61953/23909","PGRS"
"2196","NT/64225/20453","WW"
"2197","NT/69855/23965","WOSR"
"2198","NT/66603/24942","SB"
"2199","NT/68312/24742","PGRS"
"2200","NT/62639/20079","PGRS"
"2201","NT/61628/21049","SB"
"2202","NT/67783/20989","WPOT"
"2203","NT/62902/24843","PGRS"
"2204","NT/64913/20979","PGRS"
"2205","NT/66247/24211","PGRS"
"2206","NT/61457/29831","WW"
"2207","NT/61433/29915","PGRS"
"2208","NT/68877/29074","PGRS"
"2209","NT/65961/22089","PGRS"
"2210","NT/65947/22114","PGRS"
"2211","NT/61044/27413","SO"
"2212","NT/63771/23626","PGRS"
"2213","NT/64866/26452","SB"
"2214","NT/61259/27260","PGRS"
"2215","NT/64427/27962","WBS"
"2216","NT/66730/28831","PGRS"
"2217","NT/69715/21376","PGRS"
"2218","NT/60961/21132","PGRS"
"2219","NT/61205/25955","SB"
"2220","NT/64789/21091","PGRS"
"2221","NT/61321/20961","WB"
"2222","NT/67827/20572","WB"
"2223","NT/64581/20516","PGRS"
"2224","NT/60804/24088","SB"
"2225","NT/67670/25366","PGRS"
"2226","NT/69027/25321","PGRS"
"2227","NT/62414/20891","PGRS"
"2228","NT/63395/23653","PGRS"
"2229","NT/63323/21108","PGRS"
"2230","NT/63857/20756","PGRS"
"2231","NT/68820/20736","SB"
"2232","NT/69254/21141","SB"
"2233","NT/69412/21092","PGRS"
"2234","NT/61915/24235","SB"
"2235","NT/62862/20191","PGRS"
"2236","NT/61671/24075","WBS"
"2237","NT/61332/24681","PGRS"
"2238","NT/61252/29613","WO"
"2239","NT/61288/26989","PGRS"
"2240","NT/69925/25122","WPOT"
"2241","NT/69140/23233","PGRS"
"2242","NT/62239/22365","WO"
"2243","NT/64476/24006","PGRS"
"2244","NT/64123/25396","SB"
"2245","NT/64464/26646","PGRS"
"2246","NT/65996/23935","PGRS"
"2247","NT/66098/23696","PGRS"
"2248","NT/66126/23835","WBS"
"2249","NT/66124/23912","PGRS"
"2250","NT/66742/24791","SB"
"2251","NT/63461/25443","PGRS"
"2252","NT/63021/25687","PGRS"
"2253","NT/61544/22280","PGRS"
"2254","NT/60872/21790","SB"
"2255","NT/62728/21754","PGRS"
"2256","NT/63682/20186","PGRS"
"2257","NT/60663/28495","PGRS"
"2258","NT/67801/24690","SB"
"2259","NT/68866/26857","SB"
"2260","NT/66297/20810","PGRS"
"2261","NT/66187/20722","PC"
"2262","NT/61269/21831","SB"
"2263","NT/64982/23946","WBS"
"2264","NT/61674/28062","WW"
"2265","NT/60778/27109","SB"
"2266","NT/62181/20200","PGRS"
"2267","NT/63436/20337","WW"
"2268","NT/69139/24208","PGRS"
"2269","NT/61765/24664","PGRS"
"2270","NT/62833/25050","PGRS"
"2271","NT/69730/22329","PGRS"
"2272","NT/63576/29182","WW"
"2273","NT/61182/22865","SB"
"2274","NT/65976/25642","SB"
"2275","NT/66466/20962","PGRS"
"2276","NT/64635/26984","WW"
"2277","NT/62518/21028","PGRS"
"2278","NT/64056/20615","WW"
"2279","NT/62134/23454","PGRS"
"2280","NT/62187/20405","PGRS"
"2281","NT/62162/23046","WPOT"
"2282","NT/69280/26990","PGRS"
"2283","NT/69313/24366","PGRS"
"2284","NT/63444/24310","PGRS"
"2285","NT/62213/20702","PGRS"
"2286","NT/68657/22270","PGRS"
"2287","NT/60713/25879","PGRS"
"2288","NT/63295/22501","SB"
"2289","NT/62575/21423","PGRS"
"2290","NT/66149/21224","PGRS"
"2291","NT/62236/21875","PGRS"
"2292","NT/62782/26069","PGRS"
"2293","NT/69621/25367","SB"
"2294","NT/69335/23851","PGRS"
"2295","NT/63518/29764","WW"
"2296","NT/63440/28603","WOSR"
"2297","NT/63152/28789","PGRS"
"2298","NT/61035/29726","WW"
"2299","NT/69112/29311","PGRS"
"2300","NT/69065/29530","PGRS"
"2301","NT/63827/20011","PGRS"
"2302","NT/66515/23145","SB"
"2303","NT/67428/29859","WO"
"2304","NT/61834/21247","WW"
"2305","NT/68889/23772","SB"
"2306","NT/67142/29366","PGRS"
"2307","NT/66569/20647","PGRS"
"2308","NT/65336/21639","PGRS"
"2309","NT/64095/24010","PGRS"
"2310","NT/62853/26254","PGRS"
"2311","NT/64703/24868","PGRS"
"2312","NT/61443/25603","SB"
"2313","NT/61118/26822","PGRS"
"2314","NT/60753/26727","PGRS"
"2315","NT/63172/20750","PGRS"
"2316","NT/62805/26499","WW"
"2317","NT/69597/27185","WW"
"2318","NT/62048/27693","WW"
"2319","NT/63457/28227","WOSR"
"2320","NT/67432/27683","PGRS"
"2321","NT/63994/26399","WW"
"2322","NT/64862/28359","SB"
"2323","NT/65213/29858","PGRS"
"2324","NT/69087/24527","PGRS"
"2325","NT/61933/20237","PGRS"
"2326","NT/62469/20301","PGRS"
"2327","NT/61790/22464","PGRS"
"2328","NT/61301/24097","SO"
"2329","NT/63140/24214","PGRS"
"2330","NT/67653/23569","PGRS"
"2331","NT/62954/25823","PGRS"
"2332","NT/62389/28322","WB"
"2333","NT/65565/26052","PGRS"
"2334","NT/62774/23240","PGRS"
"2335","NT/62741/22977","PGRS"
"2336","NT/68092/25659","WBS"
"2337","NT/68848/25833","PGRS"
"2338","NT/69169/25965","PGRS"
"2339","NT/63473/25925","PGRS"
"2340","NT/63617/25584","PGRS"
"2341","NT/60929/24802","WOSR"
"2342","NT/61648/26077","PGRS"
"2343","NT/69213/27846","PGRS"
"2344","NT/60943/28766","PGRS"
"2345","NT/66761/26603","PGRS"
"2346","NT/68615/28371","PGRS"
"2347","NT/67172/26186","PGRS"
"2348","NT/61428/24416","PGRS"
"2349","NT/66609/25183","SB"
"2350","NT/69386/20278","SB"
"2351","NT/64944/27302","PGRS"
"2352","NT/67392/26538","WW"
"2353","NT/69365/24577","PGRS"
"2354","NT/69198/24682","SB"
"2355","NT/67922/27820","SB"
"2356","NT/66309/25445","SB"
"2357","NT/64307/29717","PGRS"
"2358","NT/61269/27981","SB"
"2359","NT/69328/27294","WB"
"2360","NT/67879/26499","SB"
"2361","NT/65433/27060","WOSR"
"2362","NT/61869/27581","PGRS"
"2363","NT/69597/26251","WW"
"2364","NT/69594/22622","PGRS"
"2365","NT/62408/20657","PGRS"
"2366","NT/61534/20389","SB"
"2367","NT/60836/28409","PGRS"
"2368","NT/66003/22116","PGRS"
"2369","NT/61618/23376","SB"
"2370","NT/61378/24156","SB"
"2371","NT/60759/28477","PGRS"
"2372","NT/61733/20206","PGRS"
"2373","NT/61491/26842","WW"
"2374","NT/66997/21368","WB"
"2375","NT/67346/21228","SO"
"2376","NT/61540/28612","WB"
"2377","NT/68494/29670","PGRS"
"2378","NT/68391/29322","SB"
"2379","NT/66977/26823","WW"
"2380","NT/66958/26383","PGRS"
"2381","NT/68148/28737","PGRS"
"2382","NT/63900/26938","PGRS"
"2383","NT/69381/25671","PGRS"
"2384","NT/61650/24613","PGRS"
"2385","NT/61271/24375","PGRS"
"2386","NT/66491/25290","PGRS"
"2387","NT/69549/22944","SB"
"2388","NT/65378/28507","PGRS"
"2389","NT/65196/28822","PGRS"
"2390","NT/66998/29383","PGRS"
"2391","NT/63161/23994","PGRS"
"2392","NT/69864/29371","PGRS"
"2393","NT/62290/21615","WW"
"2394","NT/62067/27072","WB"
"2395","NT/69237/29742","SB"
"2396","NT/64857/28125","PGRS"
"2397","NT/61800/27125","SB"
"2398","NT/65249/28679","PGRS"
"2399","NT/64953/28411","PGRS"
"2400","NT/61980/27297","SB"
"2401","NT/67542/24978","SB"
"2402","NT/64792/28896","SB"
"2403","NT/61991/21485","PGRS"
"2404","NT/67681/25617","PGRS"
"2405","NT/65257/28960","SB"
"2406","NT/65013/28455","SB"
"2407","NT/65604/29169","SB"
"2408","NT/67756/25526","PGRS"
"2409","NT/67576/25544","PGRS"
"2410","NT/61765/25367","PGRS"
"2411","NT/68484/24317","PGRS"
"2412","NT/68610/24416","PGRS"
"2413","NT/65691/26689","PGRS"
"2414","NT/69940/22862","WB"
"2415","NT/65887/21380","PGRS"
"2416","NT/66007/21276","WBS"
"2417","NT/61723/22889","PGRS"
"2418","NT/61544/23149","PGRS"
"2419","NT/61134/22296","PGRS"
"2420","NT/60757/20173","SB"
"2421","NT/67526/23843","PGRS"
"2422","NT/67313/24029","PGRS"
"2423","NT/68707/25556","PGRS"
"2424","NT/66594/20628","PGRS"
"2425","NT/66088/24443","PGRS"
"2426","NT/68833/29030","PGRS"
"2427","NT/62793/28364","PGRS"
"2428","NT/66573/26308","SB"
"2429","NT/62317/20747","PGRS"
"2430","NT/68479/23030","WPOT"
"2431","NT/68157/24201","PGRS"
"2432","NT/64661/27924","PGRS"
"2433","NT/62081/29096","WOSR"
"2434","NT/66938/24546","WW"
"2435","NT/63930/29880","WW"
"2436","NT/67487/24307","PGRS"
"2437","NT/61003/22133","PGRS"
"2438","NT/69908/21773","PGRS"
"2439","NT/61573/29730","WW"
"2440","NT/61958/20358","PGRS"
"2441","NT/65739/22650","PGRS"
"2442","NT/65834/22679","PGRS"
"2443","NT/62453/24619","WBS"
"2444","NT/69831/22204","WBS"
"2445","NT/61018/21564","PGRS"
"2446","NT/68932/28253","PGRS"
"2447","NT/66267/20418","WBS"
"2448","NT/64393/21463","PGRS"
"2449","NT/67861/21216","PGRS"
"2450","NT/68732/24516","PGRS"
"2451","NT/65700/20704","PGRS"
"2452","NT/62800/23544","PGRS"
"2453","NT/61107/27099","PGRS"
"2454","NT/60703/25506","PGRS"
"2455","NT/61854/23776","SB"
"2456","NT/69287/22475","PGRS"
"2457","NT/65630/19990","PGRS"
"2458","NT/66960/25086","SB"
"2459","NT/68042/22260","WW"
"2460","NT/66187/21213","PGRS"
"2461","NT/64103/23915","PGRS"
"2462","NT/62220/22049","PGRS"
"2463","NT/65554/21836","PGRS"
"2464","NT/62230/25029","PGRS"
"2465","NT/68645/24585","WBS"
"2466","NT/67707/24420","PGRS"
"2467","NT/66918/28486","PGRS"
"2468","NT/67873/20428","WW"
"2469","NT/68960/24928","PGRS"
"2470","NT/69370/21632","PGRS"
"2471","NT/63690/20319","WW"
"2472","NT/67969/20190","PGRS"
"2473","NT/68675/20539","PGRS"
"2474","NT/68375/25024","WO"
"2475","NT/62735/23397","PGRS"
"2476","NT/64708/25249","SB"
"2477","NT/61982/20466","PGRS"
"2478","NT/62486/26648","WW"
"2479","NT/61686/29603","WW"
"2480","NT/69789/20336","SB"
"2481","NT/62307/20825","PGRS"
"2482","NT/61336/23038","PGRS"
"2483","NT/62356/23876","WW"
"2484","NT/62814/20832","PGRS"
"2485","NT/60872/26210","SO"
"2486","NT/60953/21481","PGRS"
"2487","NT/69695/28611","PGRS"
"2488","NT/68971/29420","PGRS"
"2489","NT/62770/28967","WW"
"2490","NT/62492/29296","WW"
"2491","NT/66092/27820","SB"
"2492","NT/68841/20139","SB"
"2493","NT/63215/28382","PGRS"
"2494","NT/68761/26452","PGRS"
"2495","NT/66010/22082","PGRS"
"2496","NT/62758/29809","WB"
"2497","NT/62897/26024","PGRS"
"2498","NT/62798/26062","PGRS"
"2499","NT/69095/23558","PGRS"
"2500","NT/67177/24253","PGRS"
"2501","NT/67515/20212","PGRS"
"2502","NT/68769/23401","PGRS"
"2503","NT/61206/29284","PGRS"
"2504","NT/68947/23470","PGRS"
"2505","NT/65213/28425","PGRS"
"2506","NT/69330/29552","PGRS"
"2507","NT/69682/29199","PGRS"
"2508","NT/69888/29645","PGRS"
"2509","NT/66108/29189","SB"
"2510","NT/62217/21139","WBS"
"2511","NT/65341/28333","PGRS"
"2512","NT/62163/26250","SB"
"2513","NT/67267/29657","PGRS"
"2514","NT/67843/29454","SB"
"2515","NT/65469/28405","PGRS"
"2516","NT/65467/28541","PGRS"
"2517","NT/65158/28267","PGRS"
"2518","NT/65485/28959","PGRS"
"2519","NT/67391/25454","PGRS"
"2520","NT/64793/28700","PGRS"
"2521","NT/64936/28600","PGRS"
"2522","NT/65994/28336","PGRS"
"2523","NT/65598/28395","PGRS"
"2524","NT/65435/28331","PGRS"
"2525","NT/61307/29236","PGRS"
"2526","NT/63338/23928","SB"
"2527","NT/62808/24300","PGRS"
"2528","NT/67471/28229","PGRS"
"2529","NT/63286/24450","SB"
"2530","NT/62071/28680","WOSR"
"2531","NT/66562/27288","SO"
"2532","NT/63105/26322","PGRS"
"2533","NT/66688/20871","PGRS"
"2534","NT/61642/25815","SO"
"2535","NT/66282/21070","PGRS"
"2536","NT/69597/26767","SB"
"2537","NT/65777/27380","WOSR"
"2538","NT/67632/25740","WBS"
"2539","NT/66638/20934","WBS"
"2540","NT/65945/22020","PGRS"
"2541","NT/63383/23464","SB"
"2542","NT/67864/28908","PGRS"
"2543","NT/68807/28596","SB"
"2544","NT/66358/26662","WB"
"2545","NT/66515/29622","WO"
"2546","NT/68756/29698","SB"
"2547","NT/68920/29120","PGRS"
"2548","NT/63054/23327","PGRS"
"2549","NT/63621/26881","PGRS"
"2550","NT/68895/29254","PGRS"
"2551","NT/60816/24593","PGRS"
"2552","NT/66993/22770","SB"
"2553","NT/63935/27139","WPOT"
"2554","NT/60682/28617","PGRS"
"2555","NT/60650/28663","PGRS"
"2556","NT/66229/28724","PGRS"
"2557","NT/69603/27547","WW"
"2558","NT/61151/28961","WW"
"2559","NT/66963/28250","PGRS"
"2560","NT/68604/29811","PGRS"
"2561","NT/61839/28859","WOSR"
"2562","NT/69413/26952","SB"
"2563","NT/62201/20576","PGRS"
"2564","NT/66930/26160","PGRS"
"2565","NT/68338/23259","PGRS"
"2566","NT/63189/24654","WW"
"2567","NT/63991/24978","SB"
"2568","NT/69437/26106","WW"
"2569","NT/69367/24773","SB"
"2570","NT/61831/25687","SB"
"2571","NT/69225/28556","SB"
"2572","NT/68178/29392","PGRS"
"2573","NT/62948/23266","PGRS"
"2574","NT/68653/27332","SB"
"2575","NT/69626/27850","PGRS"
"2576","NT/68331/29493","PGRS"
"2577","NT/62033/20260","PGRS"
"2578","NT/69515/20888","PGRS"
"2579","NT/64909/20040","PGRS"
"2580","NT/64516/20130","PGRS"
"2581","NT/68114/24693","WB"
"2582","NT/68105/24923","WB"
"2583","NT/64808/26149","SB"
"2584","NT/68264/24442","PGRS"
"2585","NT/63769/24482","SB"
"2586","NT/69330/22061","PGRS"
"2587","NT/67342/20895","WPOT"
"2588","NT/62971/26331","WW"
"2589","NT/65746/21157","PGRS"
"2590","NT/61926/22259","WO"
"2591","NT/61551/24303","PGRS"
"2592","NT/63526/23087","WO"
"2593","NT/68851/24903","PGRS"
"2594","NT/68766/20318","PGRS"
"2595","NT/62270/24476","PGRS"
"2596","NT/64372/24109","PGRS"
"2597","NT/68675/21653","WB"
"2598","NT/64308/26802","PGRS"
"2599","NT/69317/26604","WW"
"2600","NT/69507/21099","PGRS"
"2601","NT/64153/25204","PGRS"
"2602","NT/63987/25435","PGRS"
"2603","NT/63648/21208","PGRS"
"2604","NT/68277/21745","WOSR"
"2605","NT/67276/21820","WW"
"2606","NT/69027/24055","PGRS"
"2607","NT/62523/24353","PGRS"
"2608","NT/62670/23744","WW"
"2609","NT/61176/21222","SB"
"2610","NT/64807/21365","PGRS"
"2611","NT/63516/21281","PGRS"
"2612","NT/63439/20196","PGRS"
"2613","NT/62135/20637","PGRS"
"2614","NT/61761/22595","PGRS"
"2615","NT/62068/23361","PGRS"
"2616","NT/64862/20905","WBS"
"2617","NT/63497/20976","PGRS"
"2618","NT/61769/22723","PGRS"
"2619","NT/64769/20778","PGRS"
"2620","NT/62882/20545","PGRS"
"2621","NT/62462/24527","PGRS"
"2622","NT/62779/20886","PGRS"
"2623","NT/67582/20641","PGRS"
"2624","NT/60840/24111","PGRS"
"2625","NT/61644/23060","PGRS"
"2626","NT/62538/22214","SB"
"2627","NT/62550/20657","PGRS"
"2628","NT/68485/20055","SB"
"2629","NT/67641/20973","PGRS"
"2630","NT/62941/20315","PGRS"
"2631","NT/63598/25169","SB"
"2632","NT/60984/25414","PGRS"
"2633","NT/67304/24733","WW"
"2634","NT/64815/21172","PGRS"
"2635","NT/60921/24175","SO"
"2636","NT/68896/27723","PGRS"
"2637","NT/64177/23527","PGRS"
"2638","NT/68482/24634","PGRS"
"2639","NT/61988/22634","PGRS"
"2640","NT/62335/20038","SB"
"2641","NT/65423/21958","PGRS"
"2642","NT/68929/21454","WW"
"2643","NT/64081/27656","WB"
"2644","NT/61426/22124","SB"
"2645","NT/61280/22191","PGRS"
"2646","NT/62091/23584","PGRS"
"2647","NT/60953/21912","SB"
"2648","NT/67527/21770","WW"
"2649","NT/69863/22298","PGRS"
"2650","NT/65991/21326","PGRS"
"2651","NT/64651/21128","PGRS"
"2652","NT/66040/21272","PGRS"
"2653","NT/67069/23841","SB"
"2654","NT/62380/20422","PGRS"
"2655","NT/66339/21943","PGRS"
"2656","NT/62868/24184","PGRS"
"2657","NT/60797/21400","PGRS"
"2658","NT/60974/29931","WW"
"2659","NT/69917/28453","SB"
"2660","NT/68025/28179","SB"
"2661","NT/69441/21271","PGRS"
"2662","NT/69151/20782","PGRS"
"2663","NT/66128/25178","PGRS"
"2664","NT/69721/21012","SB"
"2665","NT/61088/20832","WB"
"2666","NT/62077/29341","WW"
"2667","NT/61367/29430","PGRS"
"2668","NT/61923/29524","WW"
"2669","NT/62290/29909","PGRS"
"2670","NT/65982/26522","SB"
"2671","NT/62009/29854","WW"
"2672","NT/65670/27894","SO"
"2673","NT/63136/26400","PGRS"
"2674","NT/67107/20285","SB"
"2675","NT/68966/26476","PGRS"
"2676","NT/61422/27166","PGRS"
"2677","NT/68068/20788","PGRS"
