"","FID_1","modelLessVarsPredictedNoLabels"
"182","NT/56919/17902","WW"
"183","NT/57264/18786","WOSR"
"184","NT/57740/19211","SB"
"185","NT/57120/18644","PGRS"
"186","NT/59105/17985","PGRS"
"187","NT/56946/16724","PGRS"
"188","NT/59077/17758","PGRS"
"189","NT/57718/19971","PGRS"
"190","NT/58909/18725","PGRS"
"191","NT/59452/18532","PGRS"
"192","NT/58011/19061","PGRS"
"193","NT/57329/14960","PGRS"
"194","NT/58579/15588","PGRS"
"195","NT/58865/14917","SB"
"196","NT/57615/16791","WPOT"
"197","NT/58630/15372","PGRS"
"198","NT/58450/20023","PGRS"
"199","NT/58808/19695","PGRS"
"200","NT/58294/17750","PGRS"
"201","NT/57094/16366","PGRS"
"202","NT/58091/17878","PGRS"
"203","NT/58103/14956","PGRS"
"204","NT/57006/18983","PGRS"
"205","NT/57409/18591","WW"
"206","NT/57756/19561","WW"
"207","NT/57725/19712","PGRS"
"208","NT/58409/19031","WW"
"209","NT/58120/19409","SB"
"210","NT/57882/19366","WBS"
"211","NT/59982/18082","WBS"
"212","NT/59991/15664","PGRS"
"213","NT/59899/15840","PGRS"
"214","NT/59831/17205","PGRS"
"215","NT/59972/14810","WW"
"216","NT/59935/15072","WW"
"217","NT/59928/15530","PGRS"
"218","NT/59758/15636","PGRS"
"219","NT/59847/18186","PGRS"
"220","NT/57857/15538","PGRS"
"221","NT/57001/19711","WOSR"
"222","NT/59923/15708","PGRS"
"223","NT/59973/19934","WB"
"224","NT/59925/19058","WB"
"225","NT/60012/18436","PGRS"
"226","NT/59959/17999","WBS"
"227","NT/59813/18859","PGRS"
"228","NT/59965/16141","PGRS"
"229","NT/59979/15331","PGRS"
"230","NT/59973/16855","PGRS"
"231","NT/59799/16718","PGRS"
"232","NT/59925/17605","PGRS"
"233","NT/60010/16987","PGRS"
"234","NT/59879/16367","PGRS"
"235","NT/57519/19907","PGRS"
"236","NT/58220/17393","PGRS"
"237","NT/58721/17800","PGRS"
"238","NT/59842/19447","SB"
"239","NT/59892/18243","PGRS"
"240","NT/59753/15528","PGRS"
"241","NT/59525/19386","PGRS"
"242","NT/59553/29614","WW"
"243","NT/56853/20676","PGRS"
"244","NT/58758/25331","PGRS"
"245","NT/59289/20205","PGRS"
"246","NT/57272/25081","PGRS"
"247","NT/58391/28248","PGRS"
"248","NT/57434/21303","PGRS"
"249","NT/58409/27816","SB"
"250","NT/56856/24494","PGRS"
"251","NT/58949/25880","WW"
"252","NT/58157/29972","PGRS"
"253","NT/58963/27577","PGRS"
"254","NT/58159/28942","WW"
"255","NT/57284/28327","PGRS"
"256","NT/57826/28377","SB"
"257","NT/58086/27278","SB"
"258","NT/57811/28720","WO"
"259","NT/57551/22325","PGRS"
"260","NT/59233/28623","WW"
"261","NT/59503/22058","PGRS"
"262","NT/57997/26060","PGRS"
"263","NT/58506/28525","SB"
"264","NT/58787/28474","PGRS"
"265","NT/57850/25910","PGRS"
"266","NT/58808/27623","PGRS"
"267","NT/59484/23052","PGRS"
"268","NT/59209/26058","PGRS"
"269","NT/58799/26033","SB"
"270","NT/56890/26618","SB"
"271","NT/58008/28874","WW"
"272","NT/59287/27465","PGRS"
"273","NT/58653/27254","WBS"
"274","NT/58685/27493","PGRS"
