Id,FID_1,LCGROUP,LCTYPE,AREA,GROSS_AREA,_count,_sum,_mean,_1mean,_1range,_1variance,_2mean,_2range,_2variance,_3mean,_3range,_3variance,_4mean,_4range,_4variance,_5mean,_5range,_5variance,_6mean,_6range,_6variance,_7mean,_7range,_7variance,_8mean,_8range,_8variance,_9mean,_9range,_9variance,_1.2mean,_1.2range,_1.2varian,_2.2mean,_2.2range,_2.2varian,_3.2mean,_3.2range,_3.2varian,_4.2mean,_4.2range,_4.2varian,_5.2mean,_5.2range,_5.2varian,_6.2mean,_6.2range,_6.2varian,_7.2mean,_7.2range,_7.2varian,_8.2mean,_8.2range,_8.2varian,_9.2mean,_9.2range,_9.2varian
0,NT/64254/23275,Arable,SB,2.372,2.372,237,-4544.417137,-19.17475585,-10.09354672,8.017229557,2.573497796,-8.569751432,6.329520226,1.69383564,-11.62090656,9.329218388,2.850409081,-4.189461438,9.353699267,2.002938739,-10.31843902,9.98086977,4.481710827,-11.69834069,9.615991116,4.295230982,-12.34896644,10.49612093,4.545544672,-9.932407541,8.443349838,3.392466632,-16.68117263,9.593678474,3.921907519,-18.46496192,10.07007217,4.243955312,-15.56426365,8.873534203,1.82180763,-18.29647521,11.9793787,5.008978463,-12.20998067,5.672510147,1.47489467,-20.36089017,12.24251175,7.643716109,-11.38939798,9.187551022,3.443582577,-17.52276202,10.07417965,6.888754187,-15.76981132,11.80809402,3.87273593,-16.68117263,9.593678474,3.921907519
0,NT/64835/22739,Arable,WW,1.254,1.254,125,-2274.613388,-18.1969071,-8.873830812,10.55892861,2.773449238,-8.111943223,9.281606555,2.356409202,-9.696788461,5.009095192,1.140144423,-6.497228963,7.443437696,2.111425913,-11.30988489,10.47927165,2.801397692,-13.02196464,13.50972009,5.481950441,-11.93795165,10.27085495,3.772834335,-10.00295878,8.912945032,2.127590802,-15.98859914,11.95087194,3.765667263,-18.97333756,13.27626038,5.667904279,-16.70944006,11.67982769,4.290396006,-19.15329641,17.69529295,8.843222523,-13.82522028,8.305261135,2.423397848,-19.03692009,15.205019,6.518705792,-12.16438026,11.57261372,4.451342016,-16.85611672,9.594366074,2.062015533,-16.61101633,11.94430304,3.6341055,-15.98859914,11.95087194,3.765667263
0,NT/64770/22899,Arable,SB,7.315,7.315,736,-12077.11757,-16.40912714,-10.71076624,12.54110485,1.892433402,-9.583826823,12.23966706,2.00246143,-12.14374222,8.000275135,2.280731237,-6.40437289,10.34998609,4.932673995,-11.41235268,8.501136303,1.473336835,-13.57657809,9.21159935,2.796951277,-12.14074998,8.994498253,1.506306247,-10.57050139,6.87664938,1.299580826,-16.75712064,8.973751068,1.476666631,-19.57964516,9.934044838,2.504071249,-16.65012221,7.785716057,1.837117609,-19.71667781,9.809304237,2.975279047,-13.84006328,7.665624619,1.72204806,-21.30334322,14.2237339,4.283391494,-14.29909842,9.813734055,2.644988266,-19.38426043,11.13587189,3.006213876,-16.3483226,9.523313522,1.97634438,-16.75712064,8.973751068,1.476666631
0,NT/64420/22594,Permanent Grassland,PGRS,7.461,7.461,748,-11932.28182,-15.95224843,-11.66962282,8.334774494,1.565351311,-9.888387089,6.771605015,1.12419147,-12.91318083,10.24289227,2.751954772,-9.675804401,8.101201534,1.744181743,-12.00604781,9.054949284,2.045093006,-11.65275248,9.574166775,2.016091171,-13.57821133,10.58180428,2.573430057,-13.88050568,11.38959122,1.952334165,-19.19303606,11.1538372,2.528711192,-21.47274324,13.20497704,4.654658913,-18.31391038,8.564795494,2.118969313,-21.48639666,12.45973969,3.966391516,-17.53949085,11.32023621,3.209065011,-19.04865333,9.609266281,2.530697869,-12.49354768,10.09325266,2.332142296,-20.07517257,10.83390045,2.502887278,-20.59974276,12.22887135,3.776574744,-19.19303606,11.1538372,2.528711192
0,NT/64565/22729,Permanent Grassland,PGRS,5.166,5.166,515,-8441.034561,-16.39035837,-11.24546232,6.965841293,1.81130872,-8.931630603,6.11665535,1.1348732,-12.59560549,9.278048038,2.251724955,-9.481258104,9.14359045,3.288038955,-12.49990547,11.80906987,1.980493824,-12.90403446,8.450731754,1.318936816,-13.89428143,7.051345825,1.504441629,-13.61210689,8.344462395,1.856653003,-19.34340078,10.22736454,2.818106337,-20.73837912,12.56234932,5.796640596,-17.38941208,7.968312263,1.867975823,-21.44921047,9.880007744,3.289120339,-17.14083502,9.537233353,3.141117379,-19.29412351,9.163363457,1.788035997,-12.72810598,8.781029224,1.387517079,-20.43961126,8.231616974,2.247410413,-20.70356469,10.70677948,3.410596982,-19.34340078,10.22736454,2.818106337
0,NT/64798/22552,Arable,TGRS3,4.444,4.444,442,-7379.5322,-16.69577421,-11.37624538,11.45559263,2.106613194,-9.481478335,7.448620319,2.075379783,-12.46751455,8.937958717,1.747853117,-8.000987116,11.20401084,2.474399447,-11.42393259,11.54854345,2.892860303,-11.67418429,12.86288786,3.265873987,-13.09930859,12.09559011,3.404205594,-13.38053542,11.60082817,4.092186735,-18.22119262,11.18560219,3.284201158,-19.73521992,14.53170967,6.735727403,-17.11835165,9.575880051,1.963475787,-20.23077087,12.2689085,3.594945099,-16.30989029,11.22471333,3.524842575,-18.88037123,12.19541168,3.981640244,-12.0142163,10.81146574,2.167998952,-19.07700992,11.89960003,4.634252037,-19.88778277,13.29105568,5.244003754,-18.22119262,11.18560219,3.284201158
0,NT/65233/22883,Arable,SB,4.332,4.332,435,-7630.492916,-17.54136303,-10.29582067,6.421671391,1.241944872,-8.819685476,6.281404018,1.564939396,-11.83952535,7.873770237,1.960242505,-6.011636981,6.478832483,1.214929213,-12.01821631,10.32660866,2.067847935,-12.73590877,10.02864122,3.857063232,-12.2581111,12.42371702,4.089482836,-11.15742147,10.06045103,2.967122955,-15.65837472,8.060210228,2.300694138,-19.10329348,9.866382599,3.289323088,-16.05142817,7.661177635,2.265517464,-19.28107538,8.497378349,2.253370154,-13.62572794,8.066720963,1.812703243,-21.59107906,14.15908527,7.082741272,-13.70600485,9.877754211,3.363956488,-19.4323592,10.62045765,3.411878295,-16.46713944,12.60820866,2.92921782,-15.65837472,8.060210228,2.300694138
0,NT/65057/22688,Arable,SB,3.944,3.944,391,-6575.728159,-16.81771908,-10.28706376,7.742115498,1.896194896,-7.12898094,6.407671452,1.110761818,-10.02757649,9.931196213,2.278123428,-5.83480041,8.979391336,1.446182809,-12.87842693,12.71588898,5.080691436,-13.28169351,13.8934505,7.162691809,-12.4242461,10.72897434,4.318927181,-9.588305758,9.809336901,4.301687315,-17.06360246,11.32352734,3.617506081,-18.19650287,10.11659336,3.475772601,-14.50685113,6.948767662,1.531252412,-17.74233454,9.483719826,3.377063066,-13.10288058,9.973266602,2.061734238,-21.49632004,14.66539097,11.10296481,-13.06109183,11.15262127,4.91081184,-19.63446686,14.16093445,6.274650949,-16.31605561,10.9456377,4.21884276,-17.06360246,11.32352734,3.617506081
0,NT/64599/22248,Arable,SO,3.807,3.807,382,-5851.912207,-15.3191419,-12.6842808,7.932697296,1.516268707,-11.79581849,7.826414585,1.054774835,-13.97293028,11.33459568,3.176061913,-5.747664996,5.546515942,1.094770294,-11.00657901,6.198013306,1.104868717,-14.02469922,10.77485704,3.502669745,-12.93362654,9.728163242,2.366822199,-11.52592485,7.516721249,1.816849632,-16.70256024,6.176480293,0.995437983,-20.82342998,9.418650627,2.752009417,-16.69356183,6.470295906,1.767232139,-19.87630704,9.875632286,2.533895993,-13.29789472,6.432408333,1.4436678,-20.29238492,10.98369312,5.077293056,-14.12904247,10.49783087,3.001813312,-20.47363631,13.82871151,3.438393978,-17.14510892,9.036931038,2.564403957,-16.70256024,6.176480293,0.995437983
0,NT/64879/22284,Arable,SO,5.067,5.067,508,-9443.727521,-18.59001481,-10.23106115,7.299650669,1.036206332,-7.94093908,6.921027184,2.180383714,-10.1035719,7.352715015,2.104428973,-5.554851252,6.716588497,1.356251612,-13.45153559,10.30978298,1.964780773,-14.37973632,10.73323488,2.302034773,-13.23404012,7.521928787,1.961203102,-12.43070118,9.272226334,2.030830545,-17.73412373,8.380487442,1.69408914,-18.72021988,7.676281929,1.792928536,-16.76892194,8.419020653,1.669105494,-19.32440881,8.978376389,1.879286558,-13.90365789,7.003896713,1.674309334,-23.68536331,16.96865273,8.290069352,-13.87948906,8.95707798,1.706187248,-19.34753407,9.337240219,2.270409609,-18.58316365,9.904458046,2.813919212,-17.73412373,8.380487442,1.69408914
