"path_to_image","image_day","image_month","image_year","geom_wkt"
"/data/Sentinel1/RFI_masked_images/S1A_20180107_30_asc_175836_175901_DV_Gamma-0_GB_OSGB_RCTK_SpkRL_rfi_removed.tif","07","01","2018","POLYGON((154580.595912066 473506.197203195,154580.595912066 693426.197203195,452770.595912066 693426.197203195,452770.595912066 473506.197203195,154580.595912066 473506.197203195))"
"/data/Sentinel1/jncc_supplied_images/images_from_jncc_250719/S1A_20180107_30_asc_175901_175926_DV_Gamma-0_GB_OSGB_RCTK_SpkRL.tif","07","01","2018","POLYGON((127283.952181589 639645.675604341,127283.952181589 861595.675604341,426163.952181589 861595.675604341,426163.952181589 639645.675604341,127283.952181589 639645.675604341))"
"/data/Sentinel1/RFI_masked_images/processed_080719/S1A_20180107_30_asc_175926_175951_DV_Gamma-0_GB_OSGB_RCTK_SpkRL_rfi_removed.tif","07","01","2018","POLYGON((99956.2038748598 805670.438987321,99956.2038748598 1029940.43898732,400586.20387486 1029940.43898732,400586.20387486 805670.438987321,99956.2038748598 805670.438987321))"
"/data/Sentinel1/RFI_masked_images/S1A_20180119_30_asc_175836_175901_DV_Gamma-0_GB_OSGB_RCTK_SpkRL_rfi_removed.tif","19","01","2018","POLYGON((154654.09468255 473511.689797713,154654.09468255 693431.689797713,452824.09468255 693431.689797713,452824.09468255 473511.689797713,154654.09468255 473511.689797713))"
"/data/Sentinel1/jncc_supplied_images/images_from_jncc_250719/S1A_20180119_30_asc_175901_175926_DV_Gamma-0_GB_OSGB_RCTK_SpkRL.tif","19","01","2018","POLYGON((127356.974855526 639671.866929893,127356.974855526 861601.866929893,426226.974855526 861601.866929893,426226.974855526 639671.866929893,127356.974855526 639671.866929893))"
"/data/Sentinel1/RFI_masked_images/processed_080719/S1A_20180119_30_asc_175926_175951_DV_Gamma-0_GB_OSGB_RCTK_SpkRL_rfi_removed.tif","19","01","2018","POLYGON((100029.94765458 805686.304182663,100029.94765458 1029946.30418266,400649.94765458 1029946.30418266,400649.94765458 805686.304182663,100029.94765458 805686.304182663))"
"/data/Sentinel1/RFI_masked_images/S1A_20180131_30_asc_175835_175900_DV_Gamma-0_GB_OSGB_RCTK_SpkRL_rfi_removed.tif","31","01","2018","POLYGON((154731.930470088 473529.734627462,154731.930470088 693429.734627462,452891.930470088 693429.734627462,452891.930470088 473529.734627462,154731.930470088 473529.734627462))"
"/data/Sentinel1/jncc_supplied_images/images_from_jncc_250719/S1A_20180131_30_asc_175900_175925_DV_Gamma-0_GB_OSGB_RCTK_SpkRL.tif","31","01","2018","POLYGON((127434.476874958 639669.652591965,127434.476874958 861599.652591965,426314.476874958 861599.652591965,426314.476874958 639669.652591965,127434.476874958 639669.652591965))"
"/data/Sentinel1/jncc_supplied_images/images_from_jncc_250719/S1A_20180131_30_asc_175925_175950_DV_Gamma-0_GB_OSGB_RCTK_SpkRL.tif","31","01","2018","POLYGON((100106.321253544 805693.854809209,100106.321253544 1029943.85480921,400726.321253544 1029943.85480921,400726.321253544 805693.854809209,100106.321253544 805693.854809209))"
"/data/Sentinel1/RFI_masked_images/S1A_20180212_30_asc_175835_175900_DV_Gamma-0_GB_OSGB_RCTK_SpkRL_rfi_removed.tif","12","02","2018","POLYGON((154676.807219458 473516.256471562,154676.807219458 693426.256471562,452846.807219458 693426.256471562,452846.807219458 473516.256471562,154676.807219458 473516.256471562))"
"/data/Sentinel1/jncc_supplied_images/images_from_jncc_250719/S1A_20180212_30_asc_175900_175925_DV_Gamma-0_GB_OSGB_RCTK_SpkRL.tif","12","02","2018","POLYGON((127377.597584802 639666.336212762,127377.597584802 861596.336212762,426257.597584802 861596.336212762,426257.597584802 639666.336212762,127377.597584802 639666.336212762))"
"/data/Sentinel1/jncc_supplied_images/images_from_jncc_250719/S1A_20180212_30_asc_175925_175950_DV_Gamma-0_GB_OSGB_RCTK_SpkRL.tif","12","02","2018","POLYGON((100052.347421956 805680.866165374,100052.347421956 1029940.86616537,400672.347421956 1029940.86616537,400672.347421956 805680.866165374,100052.347421956 805680.866165374))"
"/data/Sentinel1/RFI_masked_images/S1A_20180224_30_asc_175835_175900_DV_Gamma-0_GB_OSGB_RCTK_SpkRL_rfi_removed.tif","24","02","2018","POLYGON((154594.218800776 473499.104182832,154594.218800776 693419.104182832,452764.218800776 693419.104182832,452764.218800776 473499.104182832,154594.218800776 473499.104182832))"
"/data/Sentinel1/RFI_masked_images/processed_030719/S1A_20180224_30_asc_175900_175925_DV_Gamma-0_GB_OSGB_RCTK_SpkRL_rfi_removed.tif","24","02","2018","POLYGON((127298.644260862 639640.089575926,127298.644260862 861590.089575926,426168.644260862 861590.089575926,426168.644260862 639640.089575926,127298.644260862 639640.089575926))"
"/data/Sentinel1/jncc_supplied_images/images_from_jncc_250719/S1A_20180224_30_asc_175925_175950_DV_Gamma-0_GB_OSGB_RCTK_SpkRL.tif","24","02","2018","POLYGON((99971.0255774767 805663.850251059,99971.0255774767 1029933.85025106,400581.025577477 1029933.85025106,400581.025577477 805663.850251059,99971.0255774767 805663.850251059))"
"/data/Sentinel1/RFI_masked_images/S1A_20180308_30_asc_175835_175900_DV_Gamma-0_GB_OSGB_RCTK_SpkRL_rfi_removed.tif","08","03","2018","POLYGON((154645.190948504 473515.138876495,154645.190948504 693435.138876495,452815.190948504 693435.138876495,452815.190948504 473515.138876495,154645.190948504 473515.138876495))"
"/data/Sentinel1/jncc_supplied_images/images_from_jncc_250719/S1A_20180308_30_asc_175900_175925_DV_Gamma-0_GB_OSGB_RCTK_SpkRL.tif","08","03","2018","POLYGON((127341.412926625 639665.780374248,127341.412926625 861605.780374248,426221.412926625 861605.780374248,426221.412926625 639665.780374248,127341.412926625 639665.780374248))"
"/data/Sentinel1/RFI_masked_images/processed_080719/S1A_20180308_30_asc_175925_175950_DV_Gamma-0_GB_OSGB_RCTK_SpkRL_rfi_removed.tif","08","03","2018","POLYGON((100014.505505475 805679.080621419,100014.505505475 1029949.08062142,400624.505505475 1029949.08062142,400624.505505475 805679.080621419,100014.505505475 805679.080621419))"
"/data/Sentinel1/jncc_supplied_images/images_from_jncc_250719/S1A_20180320_23_desc_064546_064611_DV_Gamma-0_GB_OSGB_RCTK_SpkRL.tif","20","03","2018","POLYGON((-14361.729798645 835890.322097109,-14361.729798645 1068560.32209711,291528.270201355 1068560.32209711,291528.270201355 835890.322097109,-14361.729798645 835890.322097109))"
"/data/Sentinel1/jncc_supplied_images/images_from_jncc_250719/S1A_20180320_23_desc_064611_064636_DV_Gamma-0_GB_OSGB_RCTK_SpkRL.tif","20","03","2018","POLYGON((-56613.7820311044 671545.168980966,-56613.7820311044 905645.168980966,249326.217968896 905645.168980966,249326.217968896 671545.168980966,-56613.7820311044 671545.168980966))"
"/data/Sentinel1/RFI_masked_images/processed_080719/S1A_20180320_30_asc_175835_175900_DV_Gamma-0_GB_OSGB_RCTK_SpkRL_rfi_removed.tif","20","03","2018","POLYGON((154724.935996109 473525.000122389,154724.935996109 693425.000122389,452854.935996109 693425.000122389,452854.935996109 473525.000122389,154724.935996109 473525.000122389))"
"/data/Sentinel1/jncc_supplied_images/images_from_jncc_250719/S1A_20180320_30_asc_175900_175925_DV_Gamma-0_GB_OSGB_RCTK_SpkRL.tif","20","03","2018","POLYGON((127425.139936421 639665.311247321,127425.139936421 861605.311247321,426275.139936421 861605.311247321,426275.139936421 639665.311247321,127425.139936421 639665.311247321))"
"/data/Sentinel1/jncc_supplied_images/images_from_jncc_250719/S1A_20180320_30_asc_175925_175950_DV_Gamma-0_GB_OSGB_RCTK_SpkRL.tif","20","03","2018","POLYGON((100098.664705775 805708.673802634,100098.664705775 1029948.67380263,400678.664705775 1029948.67380263,400678.664705775 805708.673802634,100098.664705775 805708.673802634))"
