"Satellite","SceneDates","State","RelativeOrbit","PassDirection","TotalFoldersPerDate","CEDALocationPerDate","Comments"
"Sentinel-1B",20180817,"Processed",30,"Ascending",4,"http://gws-access.ceda.ac.uk/public/defra_eo/sentinel/1/processed/ard/backscatter/2018/08/17/",
"Sentinel-1A",20180823,"Processed",30,"Ascending",3,"http://gws-access.ceda.ac.uk/public/defra_eo/sentinel/1/processed/ard/backscatter/2018/08/23/",
"Sentinel-1B",20180829,"Processed",30,"Ascending",4,"http://gws-access.ceda.ac.uk/public/defra_eo/sentinel/1/processed/ard/backscatter/2018/08/29/",
"Sentinel-1A",20180904,"Processed",30,"Ascending",3,"http://gws-access.ceda.ac.uk/public/defra_eo/sentinel/1/processed/ard/backscatter/2018/09/04/",
"Sentinel-1B",20180910,"Processed",30,"Ascending",4,"http://gws-access.ceda.ac.uk/public/defra_eo/sentinel/1/processed/ard/backscatter/2018/09/10/",
"Sentinel-1A",20180916,"Processed",30,"Ascending",3,"http://gws-access.ceda.ac.uk/public/defra_eo/sentinel/1/processed/ard/backscatter/2018/09/16/",
"Sentinel-1B",20180922,"Processed",30,"Ascending",4,"http://gws-access.ceda.ac.uk/public/defra_eo/sentinel/1/processed/ard/backscatter/2018/09/22/",
"Sentinel-1A",20180928,"Processed",30,"Ascending",4,"http://gws-access.ceda.ac.uk/public/defra_eo/sentinel/1/processed/ard/backscatter/2018/09/28/",
"Sentinel-1B",20181004,"Processed",30,"Ascending",4,"http://gws-access.ceda.ac.uk/public/defra_eo/sentinel/1/processed/ard/backscatter/2018/10/04/",
"Sentinel-1A",20181010,"Processed",30,"Ascending",3,"http://gws-access.ceda.ac.uk/public/defra_eo/sentinel/1/processed/ard/backscatter/2018/10/10/",
"Sentinel-1B",20181016,"Processed",30,"Ascending",4,"http://gws-access.ceda.ac.uk/public/defra_eo/sentinel/1/processed/ard/backscatter/2018/10/16/",
"Sentinel-1A",20181022,"Processed",30,"Ascending",3,"http://gws-access.ceda.ac.uk/public/defra_eo/sentinel/1/processed/ard/backscatter/2018/10/22/",
"Sentinel-1B",20181028,"Processed",30,"Ascending",4,"http://gws-access.ceda.ac.uk/public/defra_eo/sentinel/1/processed/ard/backscatter/2018/10/28/",
